"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,6343 13th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.028824,St. John United Baptist (SHARE site),NW,DC,38.967243,
,4925 E Capitol St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9314266,St. Luke Catholic (SHARE site),SE,DC,38.8896764,
,1514 15th St.,,food/ grocery provider,20005,Washington,,,Counseling Services,,,,,-77.034925,St. Luke's Episcopal Church,NW,DC,38.910198,
,908 North Capitol St.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.0091676,St. Martin of Tours (SHARE site),NW,DC,38.9014481,
,1908 North Capitol St.,,meal programs,20002,Washington,,http://www.stmartinsdc.org,Food/ Grocery Services,,(202) 232-1144,Bus: 80,"Mon-Thurs, 9:30am-11:30am",-77.00951,St. Martin's Social Services,NW,DC,38.915894,
,1105 New Jersey Ave,,,20003,Washington,,,Food/ Grocery Services,,,,,-77.004916,St. Matthews Baptist (SHARE site),SE,DC,38.877271,
,1725 15th St,,,20036,Washington,,,Meal Programs,,,,,-77.0345557,St. Matthew's Cathedral,NW,DC,38.9137453,
,1340 Massachusetts Ave.,,Meal Programs,20003,Washington,,,Senior Services,,,,,-76.986034,St. Monica Episcopal Church,SE,DC,38.888445,
,1611 Brentwood Rd.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.9815689,St. Paul Baptist (SHARE site),NE,DC,38.927615,
,1430 Minnesota Ave.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.983738,St. Teresa of Avila (SHARE site),SE,DC,38.867322,
,13th and V St.,,,20020,Washington,,,Job Training/ Adult Education Services,,,,,-76.9875639,St. Theresa of Avila,SE,DC,38.8654049,
,3240 Stanton Rd.,,,20020,Washington,,,Health Services,,,,,-76.9805583,Stanton Road Health Center (Unity Health Care),SE,DC,38.8476142,
,400 I Street,,,20024,Washington,,,Health Services,,(202) 484-8357,,,-77.0182174,START at Westminter Presbyterian Church,SW,DC,38.8790869,
,3309 16th Street,,,20010,Washington,,,Women's Health/ Family Services,,,,,-77.036001,"Start Early, Start Right, The Family Place",NW,DC,38.931918,
,1317 G Street,,Homeless,20005,"Washington, DC",,http://www.streetsense.org/,Artistic/ Creative Services,No,202.347.2006,"Metro Center on the Orange, Blue or Red Line",,-77.030468,Street Sense,NW,DC,38.898314,Played phone tag for a while. 
,924 G St.,,counseling services,20001,Washington,,http://www.catholiccharitiesdc.org,Women's Health/ Family Services,,(202) 772-4344,Metro: Metro Center (Red/Blue/Orange Line),,-77.0244703,"Strong Parents, Strong Families Parenting Program",NW,DC,38.8990371,"Parents, Teens, Families"
,111 Michigan Avenue,,,20010,Washington,,,Teen/ Youth Programs,,,,,-77.014864,"Supreme Teen Clubs, D.C. Department of Parks and Recreation",NW,DC,38.927241,
,311 Decatur St.,,,20011,Washington,,http://www.survivorsofhomicideinc.org,Legal Services,,(202) 882-9190,Bus: 64,,-77.0164845,"Survivors of Homicide, Inc.",NW,DC,38.9487334,
,"6402 Arlington Blvd, Suite 300
","Monday-Friday, closed between Christmas Eve and New Year's Day each year. ",Legal Services,22042,"Falls Church, VA",,http://www.tahirih.org/,Health Services,Tahirih Justice Center recently expanded their mission to include coordinating with medical and social service providers to offer pro bono medical services in addition to legal services. ,,"Shuttle from Metro
Metro accessible with a complimentary shuttle from the East Falls Church Metro on the Orange Line. Look for the silver van marked “Falls Church Corporate Center” which runs approximately every 30 minutes during business hours.  
",9am-5:30pm,-77.160025,Tahirih Justice Center,n/a,VA,38.8722329,"Children, Teens/ Young Adults, Women Only, Immigrants, Survivors of gender-based violence.  This organization works exclusively with female survivors of gender-based violence seeking asylum in the United States. Tahirih Justice Center handles cases of domestic and intimate partner abuse, female genital mutilation, forced marriage, torture and rape, honor crimes, abuse and exploitation through the International Marriage Broker industry, trafficking, and widow rituals. "
,Blair Rd. and Piney Branch Rd.,,,20012,Washington,,,Community Garden,,,,,-77.02053,Takoma Community Garden,NW,DC,38.9764871,
,416 Cedar Street,,,20012,Washington,,,Library,,,,,-77.0201519,Takoma Park High-Tech Bookmobile Library,NW,DC,38.9744936,
,3rd St. and Van Buren St.,,,20012,Washington,,,Community Garden,,,,,-77.0161682,Takoma Recreation Center Garden,NW,DC,38.9699389,
,"3720 Martin Luther King Jr., Ave",,Teen/ Youth Programs,20032,Washington,,,Women's Health/ Family Services,,,,,-77.006345,Teen Alliance for Prepared Parenting (TAPP) Congress Heights (Ward 8),SE,DC,38.837021,
, 3020 14th Street,,Teen/ Youth Programs,20009,Washington,,,Women's Health/ Family Services,,,,,-77.033163,Teen Alliance for Prepared Parenting (TAPP) Upper Cardozo Health Center   ,NW,DC,38.928168,
,110 Irving Street,,Teen/ Youth Programs,20010,Washington,,,Women's Health/ Family Services,,,,,-77.014855,Teen Alliance for Prepared Parenting (TAPP) Washington Hospital Center (Ward 4),NW,DC,38.929436,
,15th St. and S St.,,,20009,Washington,,,Community Garden,,,,,-77.0345781,Temple Garden,NW,DC,38.9141079,
,"4275 4th Street
",,Homeless,20032,Washington,,,"Child Care, Empowerment, Referrals, Counseling resources",,(202) 373-0112,MetroBus A9 - SE LIVINGSTON TE & SE 4TH ST ,,-77.000388,Tenants Empowerment Network,SE,DC,38.822984,Homeless family living in Washington D.C.
,4200 Wisconsin Avenue,,,20016,Washington,,,Library,,,,,-77.077171,Tenley-Friendship Library,NW,DC,38.943231,
,1630 Euclid Street,,,20009,Washington,,,Health Services,,,,,-77.0372779,The Adam's Morgan Children's Clinic,NW,DC,38.9232053,
,"3201 Oak Hill Drive
",,"Children, Teens/ Young Adults, Juvenile offenders",20724,Laurel,,"http://thebeatwithin.org/news/view_article.html?article_id=4f4d083d18dcf7c3c925bcaa569816e6
","Empowerment, Prison art",The contact staff for the Beat Within at Oak hill are Alex Moe and Gabriel Feldman                                                            ,(240) 456-5100,Unfortunately the easiest way to get here is by car or train. You can take the Marc train on the Camden line out of Union Station,"Could not locate business hours, but since it is a detention center I would expect they run on normal business hours.",-76.7804547,The Beat Within,NA,MD,39.1085219,You must be in the Oak Hill detention Center
,"1111 14th St. 
Suite 350","Monday - Friday
Will be closed on all federal holidays","Anyone and Everyone, LGBT",20005,Washington,,http://www.thedccenter.org/index.html,Public Use Space,n/a,,"Blue/Orange Lines - McPherson Square Metro
32 Bus
36 Bus
Circulator",2:30 PM - 6:30 PM,-77.03154,The DC Center,NW,DC,38.904282,
,3001 Bladensburg Rd,,,20018,Washington,,,Senior Services,,,,,-76.959856,The Gettysburg Senior Village 1,NE,DC,38.928445,
,4115 Alabama Ave.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.942113,The New Macedonia Baptist (SHARE site),SE,DC,38.870631,
,2233 Hunter Place,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.985018,The New United Baptist Church (SHARE site),SE,DC,38.859331,
,3298 Ft. Lincoln Dr,,,20018,Washington,,,Senior Services,,,,,-76.956808,The Petersburg Senior Village 3,NE,DC,38.921409,
,3005 Bladensburg Rd,,,20018,Washington,,,Senior Services,,,,,-76.959102,The Vicksburg Senior Village 2,NE,DC,38.92815,
,1200 U Street,,,20009,Washington,,http://www.legalclinic.org,Legal Services,,(202) 328-5500,Metro: U Street (Green/Yellow Line),,-77.028322,The Washington Legal Clinic for the Homeless,NW,DC,38.916832,Homeless
,1317 G St.,,counseling services,20005,Washington,,http://www.epiphanydc.org,Meal Programs,,(202) 347-2635,"Metro: Metro Center (Red, Blue, Orange Line) Bus: 42, S2, S4, 68, X2, D1, D3, D6","Sun, Sign up: 6am, Breakfast: 8:45 am.",-77.030468,The Welcome Table,NW,DC,38.898314,"Homeless, First 200 are served"
,1025 Vermont Ave.,,,20005,Washington,,http://www.thewomenscenter.org,Women's Health/ Family Services,,(202) 293-4580,Metro: McPherson Square (Blue/Orange Line),"Mon-Fri, 9:30am-1:30pm",-77.033086,The Women's Center,NW,DC,38.903324,Women
,133 Park Street,,,22180,Vienna,,,Women's Health/ Family Services,,,,,-77.2619518,The Women's Center,,VA,38.9027823,
,4065 Minnesota Avenue,,women's health/ family services,20019,Washington,,,Shelterss/ Transitional Housing,,,,,-76.947296,Thea Bowman House,NE,DC,38.896501,
,309 E street,,Meal Programs,20001,Washington,,http://thrivedc.org,Comprehensive Service Provider,,(202) 737-9311,Metro: Judiciary Square (Red Line),"Breakfast: Mon-Fri, 8:30am-11:30am. Dinner: Sun-Thurs: 3:30pm-7pm",-77.0155862,Thrive DC,NW,DC,38.8961481,
,"1525 Newton Street NW
",Monday through Friday,"Food Pantry/ Grocery Provider, Legal Services, Clothing, Recreational Programs, Artistic/ Creative Services, LGBT Services",20010,Washington,English and Spanish,http://www.ThriveDC.org,"Breakfast Program, Dinner Program, Job Training, Empowerment, Referrals, Counseling resources","Thrive DC began in 1979 as the Dinner Program for Homeless Women, a response to the first major wave of homelessness on the streets of downtown Washington, DC.  Over time, we began serving meals to men as well as women, created our job training program, and introduced case management and educational programming.

Thrive DC provides the last safety net for people facing economic crisis and housing instability, and the first step towards independence for people experiencing extended periods of homelessness.",202-737-9311,"5 blocks away from the Columbia Heights Metro Station (Green & Yellow Line)

Near the S Bus Lines.","Breakfast Program
M-F, 8:30 am - 11:30 am 
Free showers and laundry (Men)
Emergency Supplies
Clothing

Dinner Program (Women and Children Only)
M-F, 3:00 pm - 6:00 pm
Free showers and laundry (Women)
Emergency Supplies
Clothing

Computer Lab  
M-F, 11:00 am - 1:00 pm (Anyone)
M-F, 3:00 pm - 5:00 pm (Women and Children Only)

Case Management
By Appointment

Legal Services
Thursday, 11:30 am

HIV Testing and Counseling
Wednesday, 10:30 am

Addiction Counseling
Friday, 11:30am

Food Referrals/Emergency Food Pantry
M-F

Therapeutic Groups and Education Presentations
Varies week to week
",-77.036208,Thrive DC,NW,DC,38.933248,Thrive DC is available to anyone and everyone.  There are absolutely no restrictions to access our services.
,4121 Harewood Rd.,,,20017,Washington,,http://www.tassc.org,Counseling Services,,(202) 529-2991,Metro: Brookland-CUA (Red Line),"Mon-Fri, 9am-5pm",-77.001851,Torture Abolition and Survivors Support Coalition International (TASSV International),NE,DC,38.940378,Victims of Violence
,1711 N. Capitol St,Monday - Friday,LGBT,20002,Washington,,http://www.theincdc.org/,"Medical Provider/ Health Clinic, Affordable/ Transitional Housing",,,"Red Line - New York Avenue Metro
G8 Bus
80 Bus
P6 Bus",,-77.008686,Transgender Health Empowerment,NE,DC,38.912975,LGBT individuals
,701 1st St.,,,20002,Washington,,,Counseling Services,,,,,-77.006843,"Travelers Aid, Union Station (Social Services Office)",NE,DC,38.898197,
,205 V St.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.015248,True Grace Church of Jesus Christ (SHARE site),NW,DC,38.918886,
,14th St. and Taylor St.,,,20011,Washington,,,Community Garden,,,,,-77.0327233,Twin Oaks Garden,NW,DC,38.9408126,
,2300 Cathedral Avenue,,,20008,Washington,,,Farmers Market,,,,,-77.052969,Twin Springs Farm Stand,NW,DC,38.927543,
,1226 Vermont Avenue ,,"Anyone and Everyone, Specific community, ethic, or racial group, HIV/ AIDS, LGBT",20005,Washington,,http://www.ufcdc.com/mainsite/,"Empowerment, LGBT Services","A PERSON’S BELIEF SYSTEM: 

MUST be supportive of HEALTHY SELF ACCEPTANCE
MUST support SPIRITUAL GROWTH
MUST encourage PHYSICAL, PSYCHIC and MENTAL HEALTH",(202) 246-6299,"Metro: Orange Line, Get off at McPherson Square
Exit near intersection of I St Nw and 14th St Nw  
Start out going North on 14th St Nw towards K St Nw 	
  	Turn right onto Vermont Ave Nw 	
  	Arrive at 1226 VERMONT AVE NW, Washington, DC","Spiritual Development/Bible Study Session: Sundays at 1:15pm

Praise & Worship Service: Sundays at 2:30pm

New Members Class held each month (times vary)",-77.031528,Unity Fellowship Church,NW,DC,38.906951,
,850 Delaware Ave.,,counseling services,20024,Washington,,,Health Services,,,,,-77.012455,Unity Health Care Southwest,SW,DC,38.879603,
,1225 R Street,,"Anyone and Everyone, LGBT",20009,Washington,,http://www.unitywdc.org/index.html,LGBT Services,"Unity of Washington, DC is a church center for spiritual growth and dynamic transformation, where people discover the joy of living, loving, and serving through the understanding and application of the Spiritual Principles of Truth.", (202) 543-1414,"Metro, Green line, Get off at Shaw-Howard University, Exit near intersection of 7th St Nw and R St Nw  	
  	Start out going West on R St Nw towards 8th St Nw 	
  	Arrive at 1225 R ST NW, Washington, DC","Office Hours: M-F 10:00am - 4:00pm 
 SUNDAY SERVICE at 10:30 AM
WEDNESDAY NIGHT SERVICE at 7PM",-77.028967,"Unity of Washington, DC",NW,DC,38.912895,
,2907 Martin Luther King Jr. Avenue,,,20032,Washington,,,Senior Services,,,,,-76.997049,UPO Geriatric Day Care,SE,DC,38.84614,
,3839 Alabama Avenue,,,20020,Washington,,,Senior Services,,,,,-76.949999,UPO Senior Life Center Project KEEN,SE,DC,38.866105,
,900 G St.,,,20002,Washington,,,Senior Services,, (202) 608-1344  ,"Bus: X2, D6, 80","Mon-Fri, 8:30am-4:30pm",-76.99364,UPO Senior Life Center: Senior Services,NE,DC,38.899357,"Seniors, Ward 6"
,3001 Alabama Avenue,,,20020,Washington,,,Senior Services,,,,,-76.963273,UPO Weekend Nutrition Program,SE,DC,38.859042,
,3020 14th street,,women's health/ family services,20009,Washington,,,Health Services,,,,,-77.033163,Upper Cardozo (Unity Health Care) (WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.928168,
,60 Burns St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.950854,Upper Room Baptist (SHARE site),NE,DC,38.891408,
,501 N Street,,,20001,Washington,,http://www.urbanprayerbreakfast.org,Meal Programs,,(202) 347-5889,"Bus: 96, 97","Mon-Fri, 9am-4pm",-77.0190746,Urban Prayer Breakfast,NW,DC,38.907363,
,1200 New Jersey Ave.,,,20003,Washington,,,Farmers Market,,,,,-77.000904,US Department of Transportation Farmer's Market,SE,DC,38.876291,
,3636 Georgia Avenue,,health services,20010,Washington,,http://www.uhupil.org,Counseling Services,,(202) 446-1100,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 9am-6pm",-77.02446,Us Helping Us,NW,DC,38.935086,"African Americans, HIV/AIDS"
,12th St. and Independence Ave.,,,20024,Washington,,,Farmers Market,,,,,-77.0279438,USDA Farmers Market (USDA Parking Lot),SW,DC,38.8875862,
,2021 Alabama Ave.,,counseling services,20020,Washington,,http://www.centerchildprotection.org,Teen/ Youth Programs,,(202) 547-6175,Metro: Congress Heights (Green Line) Bus: W4,"Mon-Fri, 9am-5pm",-76.975496,Victim Services Family Support Center,SE,DC,38.850331,
,"
635 Edgewood St",,,20017,Washington,,,Senior Services,,(202) 635-1995,Metro: Rhode Island Ave-Brentwood (Red Line),,-76.996708,View at Edgewood Terrace,NE,DC,38.923231,Seniors
,40 Patterson St,,women's health/ family services,20002,Washington,,,Health Services,,,,,-77.0077,Walker-Jones Health Center (Unity Health Care) (WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.906647,
,Adams Mill Rd. and Ontario Place,,,20009,Washington,,,Community Garden,,,,,-77.044685,Walter Pierce Park Community Garden,NW,DC,38.924023,
,6900 Georgia Ave.,,,20307,Washington,,http://www.walterreed.amedd.army.mil/garrison/sites/directorates/dca_edsvcs_main.asp,Job Training/ Adult Education Services,,(202) 782-7055,Metro: Takoma (Red Line),"Mon-Fri, 7am-5pm",-77.028746,Walter Reed Educational Services Division,NW,DC,38.976559,Military Personnel
,Martin Luther King Jr. and Alabama Avenue,,,20032,Washington,,,Farmers Market,,,,,-76.9998716,Ward 8 Farmers Market,SE,DC,38.8431956,
,241 42nd St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9424399,Ward Memorial AME (SHARE site),NE,DC,38.8941168,
,1400 16th St.,,women's health/ family services,20036,Washington,,http://daycareindc.org,Teen/ Youth Programs,,(202) 387-0002,Metro: Dupont Circle (Red Line),"Mon-Fri, 8:30am-5:30pm",-77.036777,Washington Child Development Council,NW,DC,38.909085,"Children, Parents, Child Care Providers"
,337 North Carolina Ave,,Counseling Services,20003,Washington,,,Meal Programs,,(202) 546-8706,Metro: Capitol South (Blue/Orange Line) Bus: 80,"Mon, Tues, Thurs, Fri, 11:30am-1:25pm",-77.0014752,Washington City Church of the Brethren,SE,DC,38.885221,
,115 Atlantic Street,,,20032,Washington,,,Library,,,,,-77.0049362,Washington Highlands Library,SW,DC,38.8310881,
,3001 Alabama Avenue,,comprehensive service provider,20020,Washington,,www.upo.org,Senior Services,,(202) 581-9355,Metro: Shaw-Howard University (Green/Yellow Line),"Mon-Fri, 8:45am-5pm",-76.963273,"Washington Seniors Wellness Center, UPO",SE,DC,38.859042,Seniors
,6th St. and Water Street,,,20024,Washington,,,Community Garden,,,,,-77.020729,Wasterside Garden,SW,DC,38.8756937,
,945 Rhode Island Ave,,,20001,Washington,,,Library,,,,,-77.024653,Watha T. Daniel-Shaw Library,NW,DC,38.911723,
,1405 Monroe Street NW,"We are an outreach and advocacy network with offices in both Metropolitan Community Church, 474 Ridge Street NW, WDC 20001 (Convention Center Metro) and St. Stephen's Church, 1525 Newton Street NW, WDC 20010 (Columbia Heights Metro) -- the Monroe Street address is not a drop-in address, just administrative offices in our family house. Also, we are generally out in the community, so best to call to set up appointment/delivery, not drop-in.  If you are a senior with needs in our service area, we will come out to you.  Thanks!","Food Pantry/ Grocery Provider, Legal Services, Public Use Space, Artistic/ Creative Services, Empowerment, Referrals, Transportation, Community Building",20010,"Washington, DC","English, Spanish",www.wearefamilydc.org,Senior Citizens,"We Are Family was founded in 2004 by senior leaders and their friends at St. Aloysius Catholic Church in response to a crisis of poverty, violence and affordable housing in their low-income inner-city neighborhood near Capitol Hill.  We now mobilize hundreds of volunteers to bring free services, advocacy, and friendship to 450 seniors each month in the North Capitol/Shaw and Columbia Heights/Park View communities.  We don't wait for problems to come to us; we go out directly into the homes of those in need, building a bridge between the at-risk seniors and resources and companionship in their community. ",(202) 487-8698,"Our North Capitol/Shaw office is 2 1/2 blocks from Convention Center Metro and Georgia Ave/7th Street and Circulator bus lines

Our Columbia Heights/Park View office is 4 blocks from Columbia Heights metro and directly adjacent to 42/S2/S4/52/54/Circulator bus lines","Tuesday-Saturday, 10am-6pm (and 24/7 for emergencies)",-77.033181,We Are Family senior outreach network,NW,DC,38.931491,Only provides on-going services to seniors in North Capitol/Shaw and Columbia Heights/Park View areas; provide one-time emergency help to any needy senior in DC.
,4201 Connecticut Ave.,,,20008,Washington,,http://wendtcenter.org,Counseling Services,,(202) 624-0010,Metro: Foggy Bottom-GWU (Blue/Orange Line),"Mon-Fri, 8:15am-4:45pm",-77.062653,Wendt Center for Loss and Healing,NW,DC,38.943475,
,5th St. and N St.,,,20001,Washington,,,Community Garden,,,,,-77.0189421,West End Garden,NW,DC,38.907237,
,1101 24th Street,,,20037,Washington,,,Library,,,,,-77.05103,West End Library,NW,DC,38.904044,
,40th St. and W St.,,,20007,Washington,,,Community Garden,,,,,-77.078793,Whitehaven Garden,NW,DC,38.9191828,
,1701 14th St.,,,20009,Washington,,http://www.wwc.org,Health Services,,(202) 939-7690,Metro: U Street (Green/Yellow Line),"Mon-Thurs, 8am-8pm. Fri, 8am-5pm",-77.0319323,Whitman Walker Clinic,NW,DC,38.9126373,
,2100 Martin Luther King Jr. Ave.,,,20020,Washington,,http://doh.dc.gov/,Women's Health/ Family Services,,(202) 645-5663,"Metro: Anacostia (Green Line) Bus: P6, 90, B2",,-76.9890099,"WIC Headquarters (Women, Infants, and Children",SE,DC,38.865379,"Pregnant Women, New Mothers, Children up to Age 5"
,3110 W St.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.962548,Willing Heart Community Church (SHARE site),SE,DC,38.863128,
,1111 16th St.,,legal services,20036,Washington,,"""http://www.weaveincorp.org",Women's Health/ Family Services,,202-452-9550,Metro: Farragut North (Red Line),"Mon-Fri, 9am-5pm",-77.036063,Women Empowered Against Violence (WEAVE),NW,DC,38.904147,Women
,"1422 K Street NW
",Monday through Friday,"Legal Services, Counseling resources",20005,Washington,Spanish & English for all services,www.weaveincorp.org (3-17-10),Intimate Partner Violence/Domestic Violence- non-residential,,(202) 452-9550,"The McPherson Square metro stop is 1.5 blocks away.
Several buses travel along K Street.","Regular hours 9:00-5:00
Legal Clinic for survivors of intimate partner violence (domestic violence) Hours at main office:  Tuesdays 10:00 a.m. - 1:00 p.m.  & Thursdays 5:30 p.m.-8:30 p.m.

At The Lighthouse 5321 First Place NE Wednesdays 3:00 p.m.- 7:00 p.m.

Counseling hours by appointment (potentially 9 a.m.- 7:00 p.m.)",-77.0328919,Women Empowered Against Violence (WEAVE),NW,DC,38.9024941,"Must be a survivor of intimate partner abuse/domestic violence.  WEAVE has been offering innovative counseling and legal services to adult and teen survivors of intimate partner violence since 1997.  Survivors of intimate partner abuse can receive legal assistance with protection orders, divorce, custody, child support, and immigration and counseling services with the emotional trauma that can go along with surviving abuse by an intimate partner.  

WEAVE has special programs for those in the LGBT, Teen, "
,2146 24th Place,,,20018,Washington,,,Health Services,,,,,-76.972157,Woodridge Health Center (Unity Health Care),NE,DC,38.920705,
,1100 16th Street,Monday through Friday,"Teens/ Young Adults, Disabled",20036,"Washington, DC",,www.wvsarts.org,education,,,"WVSA is located two blocks east of the Metro Red Line's Farragut North exit and two blocks north of the Metro Orange and  Blue Line's Farragut West exit.

WVSA is also accessible by Metrobus lines S1, S2, S4, 52, 53, 54, N2, N4, N6, D1, D3, D5, D6, 42, L2, 3Y, 80, and 16L.",Hours are coordinated with participant,-77.036712,WVSA ARTs Connection,NW,DC,38.903808,"caters to high school age, WVSA is a sister program to the public charter school: School for ARTS in Learning (SAIL) which coordinates their programs with students after school hours"
,741 8th St,,"Children, Teens/ Young Adults, Homeless, Low-Income, At Risk Youth",20003,Washington,,"http://www.sashabruce.org/programs/show/tomorrows-leaders/youth-literacy-magazine

phone number 202.675.9340","Recreational Programs, Empowerment",,,"Blue/Orange Line to Eastern Market (Exit station using main exit, Walk a short distance S on 7th St SE, Turn left on Pennsylvania Ave SE, Walk approx. 1 block SE on Pennsylvania Ave SE, Turn right on 8th St SE, Walk approx. 2 blocks S on 8th St SE.

",,-76.9953419,Youth Literacy Magazine-Sasha Bruce Youthwork,SE,DC,38.879803,At Risk youth
,10th and G st ,,,20001,Washington,,,Meal Programs,,(202) 393-9144,Metro: Metro Center (Red/Blue/Orange Line),"Mon-Sat, 9:30am-11:30am",-77.0259759,Zacchaeus Community Kitchen (9:30 Club),NW,DC,38.8990336,
